Brand,Model Name,Screen Size,Colour,CPU Model,RAM Memory Installed Size,Operating System,Special Feature,Graphics Card Description,CPU Speed,HDD,Price
Lenovo,IdeaPad 3 15ALC6,15.6 Inches,Arctic Grey,Ryzen 5 5500U,8 GB,Windows 11 Home,"Anti Glare Screen, Light Weight, Backlit Keyboard, Thin",Integrated,,512 GB,
HP,15s,39.6 Centimetres,Natural Silver,Core i5,8 GB,Windows 11 Home,"FHD, Anti-glare Display",Integrated,,512 GB,"45,980"
Lenovo,Thnkpad E14,14 Inches,CLOUD GREY,Core i5,8 GB,Windows 11 Pro,"Backlit Keyboard, Thin",Integrated,,512 GB,"47,490"
HP,8J0S2PA,14 Inches,Black,Intel Core i5,8 GB,DOS,Thin,Integrated,,512 GB,"36,290"
ZEBRONICS,PRO Series Z,15.6 Inches,Space Grey,Intel Core i5,8 GB,Windows 11 Home,"180 Degree Tilt, Metal Body, Dolby Atmos, Fingerprint Sensor, 65W Type-C Charging",Integrated Graphic,,512 GB,"29,990"
Dell,Inspiron 3520,15.6 Inches,Silver,Core i3,8 GB,Windows 10,Numeric Keypad,Integrated,,512 GB,"35,390"
ASUS,ASUS Vivobook 16X,16 Inches,Cool Silver,Core i5,16 GB,Windows 11 Pro,"Fingerprint Reader, Anti-Glare Display, Backlit Chiclet Keyboard with Num-key",Dedicated,,,"56,990"
Apple,MacBook Pro,14 Inches,Space Black,Apple M2 Ultra,18 GB,Mac OS,Backlit Keyboard,Integrated,,1 TB,"2,19,990"
HP,HP Pavilion Laptop,39.6 Centimetres,Natural Silver,Core i5,16 GB,Windows 11 Home,"FHD, Backlit Keyboard, Micro-Edge Display, Anti-Glare, Numeric Keypad",Integrated,,512 GB,"65,990"
MSI,Modern 14 C12M-459IN,36 Centimetres,Classic Black,Core i7,16 GB,Windows 11 Home,Thin,Integrated,,512 GB,"48,990"
Acer,TMP214-53,14 Inches,Black,Core i7,16 GB,Windows 11 Home,"Fingerprint Reader, Webcam",Integrated,,,"42,980"
HP,Chromebook 11 G9 EE,11.6 Inches,Customizable,Celeron,4 GB,Chrome OS,Anti-glare Screen,UHD Graphics,,,"17,999"
Acer,ANV15-51,15.6 Inches,Black,Core i5,16 GB,Windows 11 Home,Backlit Keyboard,Dedicated,,1 TB,"81,999"
ASUS,Vivobook,14 Inches,"Blue,14 inch",Core i3,8 GB,Windows 11 Home,"Fingerprint Reader, Anti Glare Coating",Integrated,,512 GB,"33,990"
Primebook,Primebook 4G,11.6 Inches,Black,MediaTek MT8183,4 GB,PrimeOS,Memory Card Slot,Integrated,,64 GB,"14,149"
HP,HP Pavilion,35.6 Centimetres,Natural Silver,Ryzen 7,16 GB,Windows 11 Home,"Micro-edge, Anti-glare, Backlit Keyboard",Integrated,,1 TB,
HP,HP Laptop,15.6 Inches,Silver,AMD Ryzen 5 5500U,8 GB,Windows 11 Home,"Anti Glare Screen, Micro Edge Display, Backlit Keyboard, Thin, Numeric Keypad",Integrated,,512 GB,"38,490"
HP,15a- na,39.6 Centimetres,Forest Teal,Celeron,4 GB,Chrome OS,"HD, Micro-Edge Display, Anti-Glare, Numeric Keypad",Integrated,,128 GB,"18,990"
Acer,Aspire Lite,15.6 Inches,Steel Gray,AMD Ryzen 5 5500U,8 GB,Windows 11 Home,"Portable, Thin",Integrated,,,"33,030"
HP,HP Victus,39.6 Centimetres,Light Blue,Core i5,16 GB,Windows 11 Home,"Anti-Glare, FHD, Backlit Keyboard, Micro-Edge Display, Built in Alexa, Numeric Keypad",Dedicated,,512 GB,"65,990"
HP,15-fc0026AU,39.6 Centimetres,Natural Silver,Ryzen 3,8 GB,Windows 11 Home,"FHD, Backlit Keyboard, Micro-Edge Display, Anti-Glare, Numeric Keypad",Integrated,,512 GB,"33,930"
HP,HP Pavilion Laptop,39.6 Centimetres,Natural Silver,Core i5,16 GB,Windows 11 Home,"FHD, Backlit Keyboard, Micro-Edge Display, Anti-Glare, Numeric Keypad",Integrated,,512 GB,"65,990"
Lenovo,V15 G4 ABP,15.6 Inches,Black,AMD Ryzen 7,16 GB,Windows 11 Home,,Integrated,4.5 GHz,16 GB,"42,990"
Lenovo,E14 Gen 5 AMD,14 Inches,Black,Ryzen 5,8 GB,Windows 11 Home,Backlit Keyboard,Integrated,,512 GB,"47,990"
ASUS,Vivobook 15,15.6 Inches,Quiet Blue i3 13th Gen FHD,Core i3,8 GB,Windows 11 Home,Fingerprint Reader,Integrated,,512 GB,"38,990"
HP,HP Victus,39.6 Centimetres,Light Blue,Core i5,16 GB,Windows 11 Home,"Anti-Glare, FHD, Backlit Keyboard, Micro-Edge Display, Built in Alexa, Numeric Keypad",Dedicated,,512 GB,"65,990"
Dell,Dell Laptop,15.6 Inches,Black,Ryzen 5,8 GB,Windows 11 Home,Thin,Integrated,,512 GB,"36,990"
ASUS,Vivobook,14 Inches,"Silver,14 inch",Core i3,8 GB,Windows 11 Home,"Fingerprint Reader, Anti Glare Coating",Integrated,,512 GB,"33,990"
HP,HP 15s,15.6 Inches,Silver i5 13th Gen | 16GB,Core i5,16 GB,Windows 11 Home,"Backlit Keyboard, Micro-Edge Display",Integrated,,512 GB,"55,300"
ASUS,Vivobook 15,15.6 Inches,Transparent Silver,Celeron,8 GB,Windows 11 Home,"Light Weight, Thin",Integrated,,512 GB,"25,990"
HP,HP Pavilion,15.6 Inches,Silver,AMD Ryzen 7,16 GB,Windows 11 Home,"Micro-edge, Fingerprint Reader, Anti-glare, Backlit Keyboard",Integrated,,512 GB,"58,990"
Dell,Inspiron 3530,15.6 Inches,Platinum Silver,Core i5,16 GB,Windows 11 Home,Backlit Keyboard,Integrated,4.6,,"57,380"
Dell,Vostro 3530,15.6 Inches,Black,Core i3,8 GB,Windows 11 Home,Anti Glare Screen,Integrated,,512 GB,"38,890"
Lenovo,IdeaPad 1 15AMN7,15.6 Inches,Cloud Grey,Ryzen 3,8 GB,Windows 11 Home,"HD Audio, Anti Glare Coating, Memory Card Slot",Integrated,,512 GB,"31,990"
ASUS,TUF Gaming,17.3 Inches,Black,Core i5,16 GB,Windows 11 Home,"HD Audio, Backlit Keyboard, Anti Glare Coating",Dedicated,,512 GB,"53,990"
